movie_title,voice-actor
The Little Mermaid,"['Sherry Lynn', 'Kimmy Robertson', 'Tara Strong', 'Grey DeLisle; Mona Marshall', 'Jodi Benson', 'Kimmy Robertson', 'Kari Wahlgren', 'Edie McClurg', 'Rene Auberjonois', 'Paddi Edwards', 'Jason Marin', 'Ben Wright', 'Will Ryan', 'Kenneth Mars', 'Frank Welker', 'Christopher Daniel Barnes', 'Buddy Hackett', 'Samuel E. Wright', 'Pat Carroll', 'Pat Carroll; Jodi Benson']"
The Little Mermaid II: Return to the Sea,"['None', 'Stephen Furst', 'Tara Strong', 'Pat Carroll', 'Max Casella']"
The Little Mermaid: Ariel's Beginning,['Lorelei Hill Butters']
The Pirate Fairy,['Christina Hendricks']
The Plow Boy,['Walt Disney; Bill Farmer']
The Porker's Court,['Andrew Lawrence']
The Princess and the Frog,"['Michael Colyar', 'Jennifer Cody', 'Randy Newman', 'Keith David', 'John Goodman', 'Oprah Winfrey', 'None', 'Corey Burton', 'Jerry Kernion', 'Kevin Michael Richardson', 'Peter Bartlett', 'Michael-Leon Wooley', 'Jenifer Lewis', 'Emeril Lagasse', 'Bruno Campos', 'Jim Cummings', 'Anika Noni Rose', 'Paul Briggs']"
The Reluctant Dragon,"['Claud Allister', 'Barnett Parker']"
The Rescuers,"['Bob Newheart', 'Candy Candido', 'Bernard Fox', 'Dub Taylor', 'Jeanette Nolan', 'Jimmy MacDonald', 'Larry Clemmons', 'Pat Buttram', 'Geraldine Page', 'Eva Gabor', 'Joe Flynn', 'Jim Jordan', 'Michelle Stacy', 'John McIntire']"
The Rescuers Down Under,"['Adam Ryen', 'Bernard Fox', 'Carla Meyer', 'Ed Gilbert', 'Wayne Robson', 'Tristan Rogers', 'Douglas Seale', 'Frank Welker', 'Russi Taylor', 'George C. Scott', 'Peter Firth', 'John Candy']"
The Return of Jafar,['Jason Alexander']
The Sleepwalker,['None']
The Sword in the Stone,"['Junius Matthews', 'Rickie Sorensen', 'Richard Reitherman', 'Robert Reitherman', 'Thurl Ravenscroft', 'Martha Wentworth', 'Karl Swenson', 'Sebastian Cabot', 'Norman Alden', 'Alan Napier']"
The Three Caballeros,"['Pinto Colvig', 'Joaquin Garay; Carlos Alazraqui']"
The Tortoise and the Hare,"['Ned Norton', 'Eddie Holden']"
The Weekenders,['Jason Marsden']
The Wise Little Hen,"['Clarence Nash; Tony Anselmo', 'Pinto Colvig']"
"This is Your Life, Donald Duck",['June Foray']
Three Little Pigs,"['Billy Bletcher', 'Mary Moder', 'Dorothy Compton', 'Pinto Colvig']"
Timon and Pumbaa,"['Brad Garrett', 'Rob Paulsen; Jim Cummings', 'S. Scott Bullock', 'Jeff Bennett', 'Corey Burton', 'Jim Cummings', 'Corey Burton', 'Townsend Coleman; Brian Cummings']"
Tinker Bell and the Great Fairy Rescue,['Lauren Mote']
Tinker Bell and the Lost Treasure,['None']
Treasure Planet,"['Martin Short', 'Patrick McGoohan', 'Emma Thompson', 'David Hyde Pierce', 'Micheal McShane', 'Joseph Gordon-Levitt', 'Brian Murray', 'Dane A. Davis', 'Roscoe Lee Browne', 'Corey Burton', 'Laurie Metcalf', 'Michael Wincott']"
Trolley Troubles,['Frank Welker']
Who Framed Roger Rabbit,"['April Winchell', 'Lou Hirsch', 'Charles Fleischer', 'Charles Fleischer', 'Kathleen Turner', 'Christopher Lloyd', 'Charles Fleischer', 'Charles Fleischer', 'David Lander', 'Fred Newman', 'June Foray']"
Winnie the Pooh and the Blustery Day,"['John Fiedler', 'Paul Winchell']"
Winnie the Pooh and the Honey Tree,"['Bruce Reitherman', 'Ralph Wright', 'Howard Morris; Michael Gough', 'Barbara Luddy', 'Hal Smith', 'Junius Matthews', 'Clint Howard', 'Dori Whittaker', 'Sterling Holloway']"
Wreck-It Ralph,"['None', 'Katie Lowes', 'Cymbre Walk', 'Horatio Sanz', 'Jack McBrayer', 'Dennis Haysbert', 'None', 'Josie Trinidad', 'Alan Tudyk', ""Ed O'Neill"", 'Joe Lo Truglio', 'None', 'Jamie Elman', 'Jane Lynch', 'None', 'Rich Moore', 'None', 'Mindy Kaling', 'Sarah Silverman', 'John C. Reilly', 'Adam Carolla']"
Zootopia,"['Jenny Slate', 'Nate Torrence', 'Bonnie Hunt', 'Byron Howard', 'Idris Elba', 'Rich Moore', 'Alan Tudyk', 'None', 'Tommy ""Tiny"" Lister Jr.', 'Raymond S. Persi', 'Shakira', 'John DiMaggio', 'John DiMaggio', 'Ginnifer Goodwin', 'J.K. Simmons', 'Maurice LaMarche', 'Octavia Spencer', 'Jason Bateman', 'Jared Bush', 'Don Lake', 'John DiMaggio', 'Tommy Chong']"
